Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,4/1/2017,Reset,1,1,1,0,,1,,1,0,Fully Electric,1,APR,1,2017,4
NON TESLA,PORSCHE, PANAMERA E-HYBRID,PORSCHE PANAMERA E-HYBRID,4/1/2017,Reset,2,1,1,0,,2,,2,0,Hybrid,1,APR,2,2017,4
NON TESLA,CADILLAC, ELR,CADILLAC ELR,4/1/2017,Reset,2,1,1,0,,2,,2,0,Hybrid,1,APR,2,2017,4
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,4/1/2017,Reset,0,1,1,0,,0,,0,0,Fully Electric,1,APR,0,2017,4
TESLA,TESLA, MODEL 3,TESLA MODEL 3,4/1/2018,Reset,3750,1,1,0,3750,,100,3750,0,Fully Electric,1,APR,3750,2018,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2018,Reset,2626,1,1,0,,2626,,2626,0,Hybrid,1,APR,2626,2018,4
TESLA,TESLA, MODEL X,TESLA MODEL X,4/1/2018,Reset,1025,1,1,0,1025,,100,1025,0,Fully Electric,1,APR,1025,2018,4
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2018,Reset,1250,1,1,0,1250,,100,1250,0,Fully Electric,1,APR,1250,2018,4
NON TESLA,HONDA, CLARITY PHEV,HONDA CLARITY PHEV,4/1/2018,Reset,1129,1,1,0,,1129,,1129,0,Hybrid,1,APR,1129,2018,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2018,Reset,1325,1,1,0,,1325,,1325,0,Hybrid,1,APR,1325,2018,4
